nota_fiscal;estabelecimento;pn_fornecedor;descricao_fornecedor;data_fiscal;item;numero_processo;Contrato;status_do_contrato;vencimento;depto_de_compras;quantidade_unidade_estoque;preco_total_linha;cond.pagamento;departamento;família;gestão;curva
364;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;26/06/2026;DCN190520903;OC0064026;CS0000964;Ativo;05/08/2026;SRSADM;3063;12129,48;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
364;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;26/06/2026;DCN210690914;OC0064026;CS0000964;Ativo;05/08/2026;SRSADM;55;620,95;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
364;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;26/06/2026;DCN220110002;OC0064026;CS0000964;Ativo;05/08/2026;SRSADM;92;326,6;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
364;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;26/06/2026;DCN220210004;OC0064026;CS0000964;Ativo;05/08/2026;SRSADM;151;776,14;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
364;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;26/06/2026;DCN190520902;OC0064026;CS0000964;Ativo;05/08/2026;SRSADM;147;784,98;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
364;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;26/06/2026;DCN000004060;OC0064026;CS0000964;Ativo;05/08/2026;SRSADM;283;2411,16;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
364;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;26/06/2026;DCN210690901;OC0064026;CS0000964;Ativo;05/08/2026;SRSADM;149;2455,52;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
364;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;26/06/2026;DCN210690901;OC0064026;CS0000964;Ativo;05/08/2026;SRSADM;4389;53589,69;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
4592;SRS;070077759;CONSIGAS DISTRIBUIDORA LTDA;26/06/2026;DCN271110002;OC0063880;CS0000866;Ativo;11/07/2026;SRSFAB;1792;1792,26;30 DIAS;MANUFATURA SRS;MATERIAIS AUXILIARES E MATERIAIS INDIRETOS;INDUSTRIAL SRS;C
1447;SRS;070077759;CONSIGAS DISTRIBUIDORA LTDA;26/06/2026;DCN271110002;OC0063881;CS0000866;Ativo;11/07/2026;SRSFAB;891;890,71;30 DIAS;MANUFATURA SRS;MATERIAIS AUXILIARES E MATERIAIS INDIRETOS;INDUSTRIAL SRS;C
4609;SRS;070077759;CONSIGAS DISTRIBUIDORA LTDA;26/06/2026;DCN271110002;OC0064020;CS0000866;Ativo;11/07/2026;SRSFAB;1991;1991,4;30 DIAS;MANUFATURA SRS;MATERIAIS AUXILIARES E MATERIAIS INDIRETOS;INDUSTRIAL SRS;C
